date,N,P,K,Kelembaban,Suhu,pH,class,label
1,11,15,38,28,25.1,6.62,0,Kentang
2,11,15,38,28,25.1,6.79,0,Kentang
3,11,15,38,29,25.1,4.15,0,Kentang
4,11,15,38,31,25.1,4.43,0,Kentang
5,11,15,38,28,25.1,5.1,0,Kentang
6,11,15,38,30,25.1,6.91,0,Kentang
7,11,15,38,29,25.1,4.69,0,Kentang
8,11,15,38,28,25.1,4.76,0,Kentang
9,11,15,38,28,25.1,4.78,0,Kentang
10,11,15,38,28,25.1,6.82,0,Kentang
11,11,15,38,30,25.1,4.53,0,Kentang
12,11,15,38,30,25.1,4.75,0,Kentang
13,11,15,38,28,25.1,5.23,0,Kentang
14,11,15,38,28,25.1,7.21,0,Kentang
15,11,15,38,28,25.1,6.87,0,Kentang
16,11,15,38,28,25.1,4.36,0,Kentang
17,11,15,38,30,25.1,4.52,0,Kentang
18,11,15,38,28,25.1,4.84,0,Kentang
19,11,15,38,28,25.1,7.12,0,Kentang
20,11,15,38,28,25.1,4.61,0,Kentang
21,11,15,38,28,25.1,4.26,0,Kentang
22,11,15,38,28,25.1,5.11,0,Kentang
23,11,15,38,29,25.1,6.87,0,Kentang
24,11,15,38,29,25.1,6.42,0,Kentang
25,11,15,38,29,25.1,4.15,0,Kentang
26,11,15,38,30,25.1,5.2,0,Kentang
27,11,15,38,28,25.1,5.07,0,Kentang
28,11,15,38,28,25.1,6.69,0,Kentang
29,11,15,38,31,25.1,5.1,0,Kentang
30,11,15,38,28,25.1,4.89,0,Kentang
31,11,15,38,28,25.1,5.5,0,Kentang
32,11,15,38,28,25.1,7.08,0,Kentang
33,11,15,38,28,25.1,6.74,0,Kentang
34,11,15,38,28,25.1,4.41,0,Kentang
35,11,15,38,29,25.1,4.42,0,Kentang
36,11,15,38,28,25.1,7,0,Kentang
37,11,15,38,29,25.1,6.76,0,Kentang
38,11,15,38,29,25.1,4.75,0,Kentang
39,11,15,38,28,25.1,4.49,0,Kentang
40,11,15,38,30,25.1,5.18,0,Kentang
41,11,15,38,28,25.1,6.77,0,Kentang
42,11,15,38,28,25.1,4.25,0,Kentang
43,11,15,38,28,25.1,4.62,0,Kentang
44,11,15,38,29,25.1,5.04,0,Kentang
45,11,15,38,30,25.1,7.29,0,Kentang
46,11,15,38,28,25.1,6.41,0,Kentang
47,11,15,38,31,25.1,4.23,0,Kentang
48,11,15,38,28,25.1,4.83,0,Kentang
49,11,15,38,28,25.1,5.17,0,Kentang
50,11,15,38,29,25.1,6.86,0,Kentang
51,11,15,38,31,25.1,4.8,0,Kentang
52,11,15,38,30,25.1,4.75,0,Kentang
53,11,15,38,29,25.1,4.73,0,Kentang
54,11,15,38,28,25.1,6.66,0,Kentang
55,11,15,38,29,25.1,4.41,0,Kentang
56,11,15,38,28,25.1,4.68,0,Kentang
57,11,15,38,28,25.1,5.47,0,Kentang
58,11,15,38,29,25.1,7.12,0,Kentang
59,11,15,38,31,25.1,6.92,0,Kentang
60,11,15,38,28,25.1,4.55,0,Kentang
61,11,15,38,28,25.1,4.66,0,Kentang
62,11,15,38,28,25.1,5.27,0,Kentang
63,11,15,38,28,25.1,7.04,0,Kentang
64,11,15,38,28,25.1,4.37,0,Kentang
65,11,15,38,29,25.1,4.6,0,Kentang
66,11,15,38,29,25.1,4.85,0,Kentang
67,11,15,38,28,25.1,6.93,0,Kentang
68,11,15,38,28,25.1,6.42,0,Kentang
69,11,15,38,28,25.1,4.16,0,Kentang
70,11,15,38,28,25.1,5.1,0,Kentang
71,11,15,38,30,25.1,5.26,0,Kentang
72,11,15,38,28,25.1,6.74,0,Kentang
73,11,15,38,28,25.1,4.12,0,Kentang
74,11,15,38,28,25.1,4.55,0,Kentang
75,11,15,38,31,25.1,5.04,0,Kentang
76,11,15,38,28,25.1,7.05,0,Kentang
77,11,15,38,29,25.1,6.81,0,Kentang
78,11,15,38,31,25.1,4.43,0,Kentang
79,11,15,38,29,25.1,4.54,0,Kentang
80,11,15,38,28,25.1,7.68,0,Kentang
81,11,15,38,30,25.1,6.63,0,Kentang
82,11,15,38,30,25.1,4.81,0,Kentang
83,11,15,38,31,25.1,4.38,0,Kentang
84,11,15,38,28,25.1,4.9,0,Kentang
85,11,15,38,31,25.1,7.32,0,Kentang
86,11,15,38,28,25.1,6.96,0,Kentang
87,11,15,38,29,25.1,4.61,0,Kentang
88,11,15,38,28,25.1,4.99,0,Kentang
89,11,15,38,28,25.1,4.77,0,Kentang
90,11,15,38,31,25.1,6.94,0,Kentang
91,11,15,38,28,25.1,4.62,0,Kentang
92,11,15,38,28,25.1,4.59,0,Kentang
93,11,15,38,28,25.1,4.87,0,Kentang
94,11,15,38,28,25.1,7.04,0,Kentang
95,11,15,38,31,25.1,4.52,0,Kentang
96,11,15,38,30,25.1,4.57,0,Kentang
97,11,15,38,29,25.1,5.27,0,Kentang
98,11,15,38,29,25.1,7.3,0,Kentang
99,11,15,38,30,25.1,6.84,0,Kentang
100,11,15,38,31,25.1,4.85,0,Kentang
101,11,15,38,31,25.1,4.76,0,Kentang
102,11,15,38,30,25.1,4.72,0,Kentang
103,11,15,38,28,25.1,6.87,0,Kentang
104,11,15,38,28,25.1,4.37,0,Kentang
105,11,15,38,28,25.1,4.48,0,Kentang
106,11,15,38,31,25.1,5.19,0,Kentang
107,11,15,38,28,25.1,7.05,0,Kentang
108,11,15,38,28,25.1,4.23,0,Kentang
109,11,15,38,28,25.1,4.48,0,Kentang
110,11,15,38,28,25.1,4.57,0,Kentang
111,11,15,38,28,25.1,7,0,Kentang
112,11,15,38,28,25.1,6.71,0,Kentang
113,11,15,38,28,25.1,5.11,0,Kentang
114,11,15,38,31,25.1,5.16,0,Kentang
115,11,15,38,28,25.1,7.46,0,Kentang
116,11,15,38,28,25.1,6.88,0,Kentang
117,11,15,38,28,25.1,4.53,0,Kentang
118,11,15,38,28,25.1,5.02,0,Kentang
119,11,15,38,29,25.1,5.02,0,Kentang
120,11,15,38,28,25.1,6.42,0,Kentang
121,11,15,38,28,25.1,4.29,0,Kentang
122,11,15,38,29,25.1,5.08,0,Kentang
123,11,15,38,28,25.1,4.93,0,Kentang
124,11,15,38,28,25.1,6.98,0,Kentang
125,11,15,38,28,25.1,6.66,0,Kentang
126,11,15,38,28,25.1,4.82,0,Kentang
127,11,15,38,28,25.1,4.68,0,Kentang
128,11,15,38,30,25.1,7.29,0,Kentang
129,11,15,38,31,25.1,6.89,0,Kentang
130,11,15,38,28,25.1,4.79,0,Kentang
131,11,15,38,31,25.1,5.16,0,Kentang
132,11,15,38,28,25.1,5.11,0,Kentang
133,11,15,38,28,25.1,7.08,0,Kentang
134,11,15,38,30,25.1,4.71,0,Kentang
135,11,15,38,28,25.1,5.22,0,Kentang
136,11,15,38,28,25.1,4.81,0,Kentang
137,11,15,38,28,25.1,7.26,0,Kentang
138,11,15,38,29,25.1,7.09,0,Kentang
139,11,15,38,28,25.1,4.66,0,Kentang
140,11,15,38,29,25.1,4.89,0,Kentang
141,11,15,38,29,25.1,5.05,0,Kentang
142,11,15,38,29,25.1,6.91,0,Kentang
143,11,15,38,30,25.1,4.44,0,Kentang
144,11,15,38,28,25.1,4.39,0,Kentang
145,11,15,38,28,25.1,4.47,0,Kentang
146,11,15,38,30,25.1,7.29,0,Kentang
147,11,15,38,27,25.1,4.48,0,Kentang
148,11,15,38,28,25.1,4.53,0,Kentang
149,11,15,38,28,25.1,4.74,0,Kentang
150,11,15,38,31,25.1,7.07,0,Kentang
151,11,15,38,28,25.1,6.7,0,Kentang
152,11,15,38,28,25.1,4.87,0,Kentang
153,11,15,38,30,25.1,4.85,0,Kentang
154,11,15,38,29,25.1,7.1,0,Kentang
155,11,15,38,29,25.1,6.93,0,Kentang
156,11,15,38,30,25.1,4.55,0,Kentang
157,11,15,38,29,25.1,5.01,0,Kentang
158,11,15,38,29,25.1,5.02,0,Kentang
159,11,15,38,31,25.1,6.8,0,Kentang
160,11,15,38,28,25.1,4.41,0,Kentang
161,11,15,38,29,25.1,5.25,0,Kentang
162,11,15,38,30,25.1,5.26,0,Kentang
163,11,15,38,28,25.1,6.56,0,Kentang
164,11,15,38,28,25.1,4.78,0,Kentang
165,11,15,38,28,25.1,5.03,0,Kentang
166,11,15,38,28,25.1,5.16,0,Kentang
167,11,15,38,30,25.1,6.95,0,Kentang
168,11,15,38,28,25.1,1.16,0,Kentang
169,11,15,38,28,25.1,4.9,0,Kentang
170,11,15,38,28,25.1,4.88,0,Kentang
171,11,15,38,28,25.1,7.19,0,Kentang
172,11,15,38,28,25.1,6.74,0,Kentang
